Time,# Laughs,Funny Rank,vidID,h,m,s,VidLink
1:07,29,1,187168785,1,6,0,https://www.twitch.tv/videos/187168785?t=01h06m00s
2:12,14,1,614402574,2,11,0,https://www.twitch.tv/videos/614402574?t=02h11m00s
1:09,21,1,210952446,1,8,20,https://www.twitch.tv/videos/210952446?t=01h08m20s
0:38,25,1,615438703,0,37,0,https://www.twitch.tv/videos/615438703?t=00h37m00s
0:37,30,1,616463492,0,36,30,https://www.twitch.tv/videos/616463492?t=00h36m30s
0:14,16,1,210952235,0,13,10,https://www.twitch.tv/videos/210952235?t=00h13m10s
1:50,35,1,619334074,1,49,40,https://www.twitch.tv/videos/619334074?t=01h49m40s
0:30,8,1,210951331,0,29,0,https://www.twitch.tv/videos/210951331?t=00h29m00s
0:53,48,1,620325805,0,52,10,https://www.twitch.tv/videos/620325805?t=00h52m10s
0:36,5,1,210950968,0,35,50,https://www.twitch.tv/videos/210950968?t=00h35m50s
0:10,4,1,621308717,0,9,40,https://www.twitch.tv/videos/621308717?t=00h09m40s
0:00,2,1,621320108,23,59,50,https://www.twitch.tv/videos/621320108?t=23h59m50s
1:13,27,1,621324256,1,12,40,https://www.twitch.tv/videos/621324256?t=01h12m40s
1:48,9,1,210950348,1,47,30,https://www.twitch.tv/videos/210950348?t=01h47m30s
0:41,17,1,623143096,0,40,0,https://www.twitch.tv/videos/623143096?t=00h40m00s
1:38,17,1,625266367,1,37,40,https://www.twitch.tv/videos/625266367?t=01h37m40s
1:46,26,1,626217335,1,45,30,https://www.twitch.tv/videos/626217335?t=01h45m30s
0:52,34,1,210949652,0,51,0,https://www.twitch.tv/videos/210949652?t=00h51m00s
0:24,35,1,627186121,0,23,30,https://www.twitch.tv/videos/627186121?t=00h23m30s
0:41,17,1,628153031,0,40,30,https://www.twitch.tv/videos/628153031?t=00h40m30s
1:49,33,1,629154157,1,48,40,https://www.twitch.tv/videos/629154157?t=01h48m40s
0:41,5,1,205086177,0,40,0,https://www.twitch.tv/videos/205086177?t=00h40m00s
0:32,13,1,632086923,0,31,50,https://www.twitch.tv/videos/632086923?t=00h31m50s
0:52,5,1,205085663,0,51,50,https://www.twitch.tv/videos/205085663?t=00h51m50s
1:18,31,1,210953025,1,17,20,https://www.twitch.tv/videos/210953025?t=01h17m20s
2:25,47,1,613436689,2,24,10,https://www.twitch.tv/videos/613436689?t=02h24m10s
1:50,18,1,612471206,1,49,0,https://www.twitch.tv/videos/612471206?t=01h49m00s
0:25,4,1,210953986,0,24,0,https://www.twitch.tv/videos/210953986?t=00h24m00s
0:50,44,1,597996477,0,49,40,https://www.twitch.tv/videos/597996477?t=00h49m40s
1:08,24,1,593250249,1,7,0,https://www.twitch.tv/videos/593250249?t=01h07m00s
0:37,27,1,592339517,0,36,0,https://www.twitch.tv/videos/592339517?t=00h36m00s
2:01,23,1,598871351,2,0,30,https://www.twitch.tv/videos/598871351?t=02h00m30s
0:22,42,1,599861400,0,21,30,https://www.twitch.tv/videos/599861400?t=00h21m30s
0:44,24,1,600830850,0,43,30,https://www.twitch.tv/videos/600830850?t=00h43m30s
2:26,30,1,591461264,2,25,30,https://www.twitch.tv/videos/591461264?t=02h25m30s
0:00,7,1,495879087,23,59,50,https://www.twitch.tv/videos/495879087?t=23h59m50s
1:35,12,1,604877237,1,34,20,https://www.twitch.tv/videos/604877237?t=01h34m20s
0:02,1,1,604935399,0,1,10,https://www.twitch.tv/videos/604935399?t=00h01m10s
1:01,25,1,605670547,1,0,0,https://www.twitch.tv/videos/605670547?t=01h00m00s
1:55,37,1,633051077,1,54,20,https://www.twitch.tv/videos/633051077?t=01h54m20s
1:24,40,1,433480644,1,23,20,https://www.twitch.tv/videos/433480644?t=01h23m20s
0:47,3,1,349967256,0,46,40,https://www.twitch.tv/videos/349967256?t=00h46m40s
0:03,3,1,349018678,0,2,50,https://www.twitch.tv/videos/349018678?t=00h02m50s
0:40,33,1,315256676,0,39,40,https://www.twitch.tv/videos/315256676?t=00h39m40s
0:57,30,1,606635632,0,56,20,https://www.twitch.tv/videos/606635632?t=00h56m20s
1:12,33,1,315256363,1,11,50,https://www.twitch.tv/videos/315256363?t=01h11m50s
0:01,10,1,211054623,0,0,0,https://www.twitch.tv/videos/211054623?t=00h00m00s
0:50,27,1,607628517,0,49,30,https://www.twitch.tv/videos/607628517?t=00h49m30s
0:51,9,1,210954606,0,50,30,https://www.twitch.tv/videos/210954606?t=00h50m30s
1:55,42,1,609648889,1,54,0,https://www.twitch.tv/videos/609648889?t=01h54m00s
1:09,5,1,210954284,1,8,10,https://www.twitch.tv/videos/210954284?t=01h08m10s
1:21,35,1,611519261,1,20,50,https://www.twitch.tv/videos/611519261?t=01h20m50s
0:08,20,1,378132168,0,7,10,https://www.twitch.tv/videos/378132168?t=00h07m10s
0:50,5,1,205085329,0,49,10,https://www.twitch.tv/videos/205085329?t=00h49m10s
1:09,18,1,594160330,1,8,50,https://www.twitch.tv/videos/594160330?t=01h08m50s
0:57,21,1,640596721,0,56,10,https://www.twitch.tv/videos/640596721?t=00h56m10s
0:45,21,1,638732886,0,44,30,https://www.twitch.tv/videos/638732886?t=00h44m30s
0:50,46,1,634965092,0,49,50,https://www.twitch.tv/videos/634965092?t=00h49m50s
